"country","scenario","species","mgmt","animal","cohort","manure","variable","units","y_2014","y_2015","y_2016","y_2017","y_2018"
0,0,"chicken","layers",0,0,"anaerobic_digester","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","layers",0,0,"composting","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","layers",0,0,"burned_fuel","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","layers",0,0,"poultry_with_litter","Manure mgmt system","Percent","10","10","10","10","10"
0,0,"chicken","broilers",0,0,"pasture","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","broilers",0,0,"daily_spread","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","broilers",0,0,"solid_storage","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","broilers",0,0,"dry_lot","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","broilers",0,0,"liquid_slurry","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","broilers",0,0,"liquid_slurry_crust","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","broilers",0,0,"anaerobic_lagoon","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","broilers",0,0,"pitstorage_less1month","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","broilers",0,0,"pitstorage_greater1month","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","broilers",0,0,"pitstorage_greater1month_chickens","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","broilers",0,0,"anaerobic_digester","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","broilers",0,0,"composting","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","broilers",0,0,"burned_fuel","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","broilers",0,0,"poultry_with_litter","Manure mgmt system","Percent","100","100","100","100","100"
0,0,"chicken","backyard",0,0,"0","Bo","m3CH4/kg VS","0.24","0.24","0.24","0.24","0.24"
0,0,"chicken","layers",0,0,"0","Bo","m3CH4/kg VS","0.24","0.24","0.24","0.24","0.24"
0,0,"chicken","broilers",0,0,"0","Bo","m3CH4/kg VS","0.24","0.24","0.24","0.24","0.24"
0,0,"chicken","backyard",0,0,"0","prop_yard","fraction of year","0","0","0","0","0"
0,0,"chicken","layers",0,0,"0","prop_yard","fraction of year","0","0","0","0","0"
0,0,"chicken","broilers",0,0,"0","prop_yard","fraction of year","0","0","0","0","0"
0,0,"chicken","0",0,0,"0","prop_TAN","fraction","0.7","0.7","0.7","0.7","0.7"
0,0,"chicken","0",0,0,"0","ef_house_slurry","fraction of TAN","0.41","0.41","0.41","0.41","0.41"
0,0,"chicken","backyard",0,0,"0","ef_house_solid","fraction of TAN","0.2","0.2","0.2","0.2","0.2"
0,0,"chicken","layers",0,0,"0","ef_house_solid","fraction of TAN","0.2","0.2","0.2","0.2","0.2"
0,0,"chicken","broilers",0,0,"0","ef_house_solid","fraction of TAN","0.21","0.21","0.21","0.21","0.21"
0,0,"chicken","0",0,0,"0","ef_yard","fraction of TAN","0","0","0","0","0"
0,0,"chicken","0",0,0,"0","ef_storage_slurry_nh3","fraction of TAN","0.14","0.14","0.14","0.14","0.14"
0,0,"chicken","backyard",0,0,"0","ef_storage_solid_nh3","fraction of TAN","0.08","0.08","0.08","0.08","0.08"
0,0,"chicken","layers",0,0,"0","ef_storage_solid_nh3","fraction of TAN","0.08","0.08","0.08","0.08","0.08"
0,0,"chicken","broilers",0,0,"0","ef_storage_solid_nh3","fraction of TAN","0.3","0.3","0.3","0.3","0.3"
0,0,"chicken","0",0,0,"0","ef_storage_slurry_no","fraction of TAN","1e-04","1e-04","1e-04","1e-04","1e-04"
0,0,"chicken","0",0,0,"0","ef_storage_solid_no","fraction of TAN","0.01","0.01","0.01","0.01","0.01"
0,0,"chicken","0",0,0,"0","ef_storage_slurry_n2","fraction of TAN","0.003","0.003","0.003","0.003","0.003"
0,0,"chicken","0",0,0,"0","ef_storage_solid_n2","fraction of TAN","0.3","0.3","0.3","0.3","0.3"
0,0,"chicken","0",0,0,"0","straw","kg head-1 year-1","0","0","0","0","0"
0,0,"chicken","0",0,0,"0","N_straw","kg head-1 year-1","0","0","0","0","0"
0,0,"chicken","0",0,0,"0","frac_imm","kg N kg-1 straw","0","0","0","0","0"
0,0,"chicken","0",0,0,"0","frac_min","kg N kg-1 straw","0","0","0","0","0"
0,0,"chicken","0",0,0,"0","ef_vol","kg N2O-N·kg N volatilized-1","0.01","0.01","0.01","0.01","0.01"
0,0,"chicken","0",0,0,"0","ef_leach","kg N2O-N·kg N leached-1","0.0075","0.0075","0.0075","0.0075","0.0075"
